item_name,category,stock_count,max_stock,status,alert,threshold,updated_at
오버핏 크루넥 티셔츠 (화이트/S),상의,32,80,Normal,0,5,2024-06-01 14:30:00
오버핏 크루넥 티셔츠 (화이트/M),상의,28,80,Normal,0,5,2024-06-01 14:30:00
오버핏 크루넥 티셔츠 (블랙/M),상의,4,80,Restock Needed,1,5,2024-06-01 14:30:00
린넨 셔츠 (베이지/Free),상의,17,50,Normal,0,5,2024-06-01 14:30:00
스트라이프 반팔 셔츠 (네이비/L),상의,3,40,Restock Needed,1,5,2024-06-01 14:30:00
크롭 후드집업 (그레이/S),상의,11,60,Normal,0,5,2024-06-01 14:30:00
크롭 후드집업 (그레이/M),상의,2,60,Restock Needed,1,5,2024-06-01 14:30:00
와이드 데님 팬츠 (인디고/26),하의,9,45,Warning,0,5,2024-06-01 14:30:00
와이드 데님 팬츠 (인디고/28),하의,1,45,Restock Needed,1,5,2024-06-01 14:30:00
슬랙스 (차콜/30),하의,14,50,Normal,0,5,2024-06-01 14:30:00
슬랙스 (차콜/32),하의,6,50,Warning,0,5,2024-06-01 14:30:00
미디 플리츠 스커트 (크림/S),하의,5,35,Warning,0,5,2024-06-01 14:30:00
미디 플리츠 스커트 (블랙/M),하의,0,35,Out of Stock,1,5,2024-06-01 14:30:00
레더 바이커 자켓 (블랙/S),아우터,7,25,Warning,0,5,2024-06-01 14:30:00
레더 바이커 자켓 (블랙/M),아우터,3,25,Restock Needed,1,5,2024-06-01 14:30:00
오버핏 코튼 코트 (오트밀/Free),아우터,12,30,Normal,0,5,2024-06-01 14:30:00
나일론 짚업 점퍼 (올리브/L),아우터,4,40,Restock Needed,1,5,2024-06-01 14:30:00
플로럴 시어 원피스 (라벤더/S),원피스·세트,8,50,Warning,0,5,2024-06-01 14:30:00
리넨 셋업 세트 (아이보리/M),원피스·세트,2,20,Restock Needed,1,5,2024-06-01 14:30:00
버킷햇 (베이지/Free),액세서리,22,60,Normal,0,5,2024-06-01 14:30:00
캔버스 토트백 (내추럴),액세서리,15,50,Normal,0,5,2024-06-01 14:30:00
양말 3-pack (화이트),액세서리,40,100,Normal,0,5,2024-06-01 14:30:00
